parentType	childCount	positionLeft	positionTop	width	height	textNodeCount	avChildWidth	avChildHeight	sdChildWidth	sdChildHeight	avChildX	avChildY	sdChildX	sdChildY	subElement
d	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d
															class
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	17	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	1	0	0	0	0	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	2	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	1	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	34	774	63	238	0	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
UL	16	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Y
LI	15	0	0	0	0	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	6	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
DIV	1	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
A	3	0	0	0	0	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	N
